Date,Open,High,Low,Close,Adj Close,Volume
2017-03-06,53.700893,54.792782,53.154953,53.353477,53.353477,471948
2017-03-07,53.403107,53.750526,52.807533,52.956429,52.956429,592160
2017-03-08,52.956429,53.403107,52.063068,52.261593,52.261593,366358
2017-03-09,52.757904,52.757904,51.417862,51.616386,51.616386,294670
2017-03-10,52.509747,52.609009,51.318600,51.616386,51.616386,331920
2017-03-14,53.452740,53.452740,51.666019,51.715649,51.715649,256278
2017-03-15,52.162331,52.410484,51.169704,51.517124,51.517124,324965
2017-03-16,51.666019,53.502369,51.666019,52.708271,52.708271,419147
2017-03-17,52.857166,53.105320,51.814911,52.112698,52.112698,199305
2017-03-20,51.963806,52.509747,51.616386,51.765282,51.765282,190894
2017-03-21,51.914173,52.410484,51.120075,52.013435,52.013435,254405
2017-03-22,52.360855,54.792782,52.311222,53.552002,53.552002,948216
2017-03-23,53.849789,54.395729,53.403107,53.552002,53.552002,221884
2017-03-24,53.601631,54.494991,52.609009,52.857166,52.857166,319918
2017-03-27,52.906796,53.105320,51.715649,51.914173,51.914173,203748
2017-03-28,52.211960,53.006058,51.765282,51.963806,51.963806,313602
2017-03-29,52.410484,52.509747,50.623764,50.772655,50.772655,521984
2017-03-30,51.020813,51.864540,51.020813,51.666019,51.666019,292611
2017-03-31,51.814911,52.807533,51.517124,51.914173,51.914173,330736
2017-04-03,51.814911,56.877289,51.666019,56.281715,56.281715,1718436
2017-04-05,56.778027,58.118065,56.083187,56.778027,56.778027,1121333
2017-04-06,56.678764,56.728394,55.140198,55.289089,55.289089,430382
2017-04-07,54.693516,56.728394,54.445362,54.892040,54.892040,788866
2017-04-10,54.792782,56.281715,54.643887,55.437984,55.437984,456226
2017-04-11,57.224705,58.564747,56.579502,56.827656,56.827656,927411
2017-04-12,57.075813,57.323967,54.643887,55.239460,55.239460,330602
2017-04-13,55.090565,56.678764,54.693516,55.338722,55.338722,554029
2017-04-17,55.388351,57.969173,55.189831,57.224705,57.224705,883201
2017-04-18,58.068436,58.912163,55.686138,56.083187,56.083187,824023
2017-04-19,56.232082,56.529869,55.090565,55.338722,55.338722,325009
2017-04-20,55.586880,59.160320,55.586880,58.465485,58.465485,1424901
